input,target
이 라면은 정말 맛있습니다.,이 라면은 진짜 개맛있노
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 진짜 쩔노!!
오늘 농구 경기가 정말 재미있었습니다.,오늘 농구 경기가 진짜 꿀잼었누ㅋㅋㅋ
잠시만 기다려 주세요.,잠시만 기다려 줘노!!
버정에 모레에 도착하겠습니다.,버정에 모레에 도착하겠누
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠노ㅋㅋㅋ
일정을 조금 미루는 것이 어떨까요?,일정을 쪼끔 미루는 것이 어떨까요노?ㅋㅋㅋ
역에 다음 주에 도착하겠습니다.,역에 다음 주에 도착하겠노
사진 화질이 조금 아쉽습니다.,사진 화질이 쪼끔 아쉽누ㅋㅋㅋ
책을 공원에 두고 온 것 같습니다.,책을 공원에 두고 온 것 같노
오늘 부산로 이동하겠습니다.,오늘 부산로 이동하겠누ㄷㄷ
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 ㄹㅇ 개꿀잼었노ㅋㅋㅋ
점심에 보고서이 있으니 늦지 말아 주세요.,점심에 보고서이 있으니 늦지 말아 줘누
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 ㄹㅇ 지리누
이 치킨은 정말 맛있습니다.,이 치킨은 개 존맛노
이 초밥은 정말 맛있습니다.,이 초밥은 진짜 존맛노ㅋㅋㅋ
이 라면은 정말 맛있습니다.,이 라면은 진짜 존맛노
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 진짜 지리누
러닝 연습은 잘 되고 있습니까?,러닝 연습은 잘 되고 있노?
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같노!!
점심에 학교에서 뵙겠습니다.,점심에 학교에서 뵙겠누ㄷㄷ
오늘 제주도 날씨가 정말 좋습니다.,오늘 제주도 날씨가 진짜 쩔누!!
버정에 아침에 도착하겠습니다.,버정에 아침에 도착하겠노ㅋㅋ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 겁나 쩔노ㄷㄷ
지갑 배터리가 너무 빨리 닳습니다.,지갑 배터리가 너무 빨리 닳누ㄷㄷ
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같누ㄷㄷ
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 ㄹㅇ 개꿀잼었노ㅎㅎ
오늘 대구로 이동하겠습니다.,오늘 대구로 이동하겠노ㅎㅎ
이 비빔밥은 정말 맛있습니다.,이 비빔밥은 ㄹㅇ 개맛있노
오늘 광주 날씨가 정말 좋습니다.,오늘 광주 날씨가 개 지리노
다음 주에 회사에서 뵙겠습니다.,다음 주에 회사에서 뵙겠누!!
도서관이(가) 너무 붐빕니다.,도서관이 너무 붐빕니다노!!
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸누!!
이 초밥은 정말 맛있습니다.,이 초밥은 진짜 존맛노
연락이 늦어 죄송합니다.,연락이 늦어 죄송누!!
학교이(가) 너무 붐빕니다.,학교가 너무 붐빕니다노ㅋㅋㅋ
점심에 회의 일정을 조율하겠습니다.,점심에 회의 일정을 조율하겠노ㅎㅎ
이 초밥은 정말 맛있습니다.,이 초밥은 겁나 존맛누
키보드 배터리가 너무 빨리 닳습니다.,키보드 배터리가 너무 빨리 닳누ㅋㅋㅋ
이 문제를 어떻게 해결하면 좋을까요?,이 문제를 어떻게 해결하면 지리을까요노?ㅋㅋㅋ
아침에 발표이 있으니 늦지 말아 주세요.,아침에 발표이 있으니 늦지 말아 줘누
오늘 일정은 여기까지 하겠습니다.,오늘 일정은 여기까진 하겠누ㅎㅎ
이 김밥은 정말 맛있습니다.,이 김밥은 진짜 개맛있노
이 불고기은 정말 맛있습니다.,이 불고기은 개 존맛누!!
노트북을 회사에 두고 온 것 같습니다.,노트북을 회사에 두고 온 것 같노
가능하시다면 지금 시작하겠습니다.,가능하시다면 지금 시작하겠누ㅋㅋ
지구과학 숙제를 아직 제출하지 못했습니다.,지구과학 숙제를 아직 제출하지 못했누!!
오늘 러닝 경기가 정말 재미있었습니다.,오늘 러닝 경기가 진짜 꿀잼었누ㄷㄷ
헬스장에 점심에 도착하겠습니다.,헬스장에 점심에 도착하겠누
탭 배터리가 너무 빨리 닳습니다.,탭 배터리가 너무 빨리 닳누!!
이 치킨은 정말 맛있습니다.,이 치킨은 ㄹㅇ 존맛노
의견 주시면 감사하겠습니다.,의견 주시면 감사하겠노ㅋㅋㅋ
오늘 파리 날씨가 정말 좋습니다.,오늘 파리 날씨가 진짜 쩔누ㄷㄷ
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠누!!
일정을 조금 미루는 것이 어떨까요?,일정을 쬐끔 미루는 것이 어떨까요노?ㄷㄷ
이 불고기은 정말 맛있습니다.,이 불고기은 진짜 개맛있누
탭을 헬스장에 두고 온 것 같습니다.,탭을 헬스장에 두고 온 것 같누
이 불고기은 정말 맛있습니다.,이 불고기은 ㄹㅇ 개맛있노ㅎㅎ
이 문장을 간단하게 바꿔 주세요.,이 문장을 간단하게 바꿔 줘누!!
키보드을 어디에 두셨는지 기억나십니까?,키보드을 어디에 두셨는지 기억나십니까노?!!
다음 주까지는 완료하겠습니다.,다음 주까지 완료하겠누
아침에 점검이 있으니 늦지 말아 주세요.,아침에 점검이 있으니 늦지 말아 줘누ㅋㅋㅋ
가격이 다소 높은 편입니다.,가격이 쪼끔 높은 편누!!
아침에 카페에서 뵙겠습니다.,아침에 카페에서 뵙겠노
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽노ㅋㅋ
그 제안은 괜찮아 보입니다.,그 제안은 괜찮아 보노!!
공원에 내일에 도착하겠습니다.,공원에 내일에 도착하겠노ㄷㄷ
도서관에 내일에 도착하겠습니다.,도서관에 내일에 도착하겠노ㅎㅎ
책을 집에 두고 온 것 같습니다.,책을 집에 두고 온 것 같노
오늘 부산 날씨가 정말 좋습니다.,오늘 부산 날씨가 ㄹㅇ 지리노
일정을 조금 미루는 것이 어떨까요?,일정을 쪼끔 미루는 것이 어떨까요노?
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠누!!
오늘 파리 날씨가 정말 좋습니다.,오늘 파리 날씨가 진짜 지리노ㅋㅋ
오늘 뉴욕 날씨가 정말 좋습니다.,오늘 뉴욕 날씨가 개 쩔노
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 존나 개꿀잼었누
다음 주에 마감이 있으니 늦지 말아 주세요.,다음 주에 마감이 있으니 늦지 말아 줘노ㅋㅋㅋ
내일 저녁에 출발해도 될까요?,내일 저녁에 출발해도 될까요노?ㅎㅎ
오버워치 실력이 매우 늘었습니다.,오버워치 실력이 개 늘었노!!
평일에 역에서 뵙겠습니다.,평일에 역에서 뵙겠누
저녁에 회의이 있으니 늦지 말아 주세요.,저녁에 회의이 있으니 늦지 말아 줘노
오늘 역이(가) 예상보다 한산합니다.,오늘 역이 예상보다 한산노ㅋㅋㅋ
오늘 밤에 운동하실 수 있나요?,오늘 밤에 운동하실 수 있노?ㄷㄷ
지갑을 회사에 두고 온 것 같습니다.,지갑을 회사에 두고 온 것 같누
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 존나 개꿀잼었노ㄷㄷ
폰을 공원에 두고 온 것 같습니다.,폰을 공원에 두고 온 것 같노
오늘 카페이(가) 예상보다 한산합니다.,오늘 카페가 예상보다 한산노
오늘 대전로 이동하겠습니다.,오늘 대전로 이동하겠노
이 라면은 정말 맛있습니다.,이 라면은 존나 개맛있노
오늘 러닝 경기가 정말 재미있었습니다.,오늘 러닝 경기가 ㄹㅇ 꿀잼었누
오늘 부산 날씨가 정말 좋습니다.,오늘 부산 날씨가 진짜 쩔노
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같누ㅋㅋㅋ
오늘 광주로 이동하겠습니다.,오늘 광주로 이동하겠누ㄷㄷ
헬스장에 점심에 도착하겠습니다.,헬스장에 점심에 도착하겠노
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 ㄹㅇ 꿀잼었누
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 개꿀잼었누ㄷㄷ
카메라을 헬스장에 두고 온 것 같습니다.,카메라을 헬스장에 두고 온 것 같노
점심에 도서관에서 뵙겠습니다.,점심에 도서관에서 뵙겠누ㅋㅋ
집에 밤에 도착하겠습니다.,집에 밤에 도착하겠누ㅋㅋ
책 배터리가 너무 빨리 닳습니다.,책 배터리가 너무 빨리 닳누ㅎㅎ
가격이 다소 높은 편입니다.,가격이 좀 높은 편누ㅋㅋ
배그 실력이 매우 늘었습니다.,배그 실력이 개 늘었노ㅋㅋㅋ
오늘 파리로 이동하겠습니다.,오늘 파리로 이동하겠누
오늘 평일에 운동하실 수 있나요?,오늘 평일에 운동하실 수 있노?ㅋㅋㅋ
공원에 점심에 도착하겠습니다.,공원에 점심에 도착하겠노
다음 주에 보고서이 있으니 늦지 말아 주세요.,다음 주에 보고서이 있으니 늦지 말아 줘노!!
내일에 공원에서 뵙겠습니다.,내일에 공원에서 뵙겠누
내일에 회의 일정을 조율하겠습니다.,내일에 회의 일정을 조율하겠누!!
이 초밥은 정말 맛있습니다.,이 초밥은 ㄹㅇ 존맛노ㅋㅋ
이 치킨은 정말 맛있습니다.,이 치킨은 겁나 존맛누
이 버거은 정말 맛있습니다.,이 버거은 ㄹㅇ 개맛있누
오늘 도쿄로 이동하겠습니다.,오늘 도쿄로 이동하겠노ㅋㅋ
이 김밥은 정말 맛있습니다.,이 김밥은 ㄹㅇ 존맛누
늦어서 정말 죄송합니다.,늦어서 겁나 죄송노
조심히 들어가세요.,조심히 들어가세요노ㅋㅋㅋ
이 문제를 어떻게 해결하면 좋을까요?,이 문제를 어떻게 해결하면 쩔을까요노?ㅋㅋ
주말에 마감이 있으니 늦지 말아 주세요.,주말에 마감이 있으니 늦지 말아 줘노
키보드 배터리가 너무 빨리 닳습니다.,키보드 배터리가 너무 빨리 닳노
오늘 인천로 이동하겠습니다.,오늘 인천로 이동하겠누ㅋㅋ
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사노ㅋㅋㅋ
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸누
밤에 마감이 있으니 늦지 말아 주세요.,밤에 마감이 있으니 늦지 말아 줘누
오늘 일정은 여기까지 하겠습니다.,오늘 일정은 여기까진 하겠노ㅎㅎ
학교에 밤에 도착하겠습니다.,학교에 밤에 도착하겠누ㅎㅎ
오늘 인천로 이동하겠습니다.,오늘 인천로 이동하겠누ㅋㅋㅋ
아침에 카페에서 뵙겠습니다.,아침에 카페에서 뵙겠누
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯누
오버워치 실력이 매우 늘었습니다.,오버워치 실력이 개 늘었누
키보드을 공원에 두고 온 것 같습니다.,키보드을 공원에 두고 온 것 같누
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같노ㅋㅋ
지금 바로 처리하겠습니다.,지금 바로 처리하겠누
오늘 대전로 이동하겠습니다.,오늘 대전로 이동하겠누
배그 실력이 매우 늘었습니다.,배그 실력이 개 늘었누ㄷㄷ
이어폰을 회사에 두고 온 것 같습니다.,이어폰을 회사에 두고 온 것 같누
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 진짜 개맛있누
이 치킨은 정말 맛있습니다.,이 치킨은 겁나 개맛있누
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 ㄹㅇ 꿀잼었노
오늘 일정은 여기까지 하겠습니다.,오늘 일정은 여기까진 하겠누ㄷㄷ
오늘 대구로 이동하겠습니다.,오늘 대구로 이동하겠누ㄷㄷ
탭을 어디에 두셨는지 기억나십니까?,탭을 어디에 두셨는지 기억나십니까노?!!
아침에 카페에서 뵙겠습니다.,아침에 카페에서 뵙겠누ㅋㅋ
잠시만 기다려 주세요.,잠시만 기다려 줘노ㅎㅎ
마크 실력이 매우 늘었습니다.,마크 실력이 겁나 늘었누
사진 화질이 조금 아쉽습니다.,사진 화질이 살짝 아쉽누
카페에 점심에 도착하겠습니다.,카페에 점심에 도착하겠누
오늘 제주도 날씨가 정말 좋습니다.,오늘 제주도 날씨가 ㄹㅇ 지리누ㅋㅋ
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 ㄹㅇ 지리누ㅋㅋㅋ
탭을 헬스장에 두고 온 것 같습니다.,탭을 헬스장에 두고 온 것 같노
이어폰을 역에 두고 온 것 같습니다.,이어폰을 역에 두고 온 것 같노ㅋㅋㅋ
밤에 집에서 뵙겠습니다.,밤에 집에서 뵙겠누ㅋㅋ
배그 실력이 매우 늘었습니다.,배그 실력이 개 늘었누!!
회사이(가) 너무 붐빕니다.,회사가 너무 붐빕니다노ㄷㄷ
다음 주에 회의 일정을 조율하겠습니다.,다음 주에 회의 일정을 조율하겠누ㅎㅎ
다음 주까지는 완료하겠습니다.,다음 주까지 완료하겠누ㅎㅎ
공원에 저녁에 도착하겠습니다.,공원에 저녁에 도착하겠노
점심에 면접이 있으니 늦지 말아 주세요.,점심에 면접이 있으니 늦지 말아 줘누ㅎㅎ
조심히 들어가세요.,조심히 들어가세요노ㅋㅋ
주말에 회의 일정을 조율하겠습니다.,주말에 회의 일정을 조율하겠누ㅋㅋㅋ
내일에 발표이 있으니 늦지 말아 주세요.,내일에 발표이 있으니 늦지 말아 줘노ㅎㅎ
아침에 집에서 뵙겠습니다.,아침에 집에서 뵙겠노ㄷㄷ
이어폰을 버정에 두고 온 것 같습니다.,이어폰을 버정에 두고 온 것 같노
가격이 다소 높은 편입니다.,가격이 좀 높은 편노
약속 시간이 조금 빠듯합니다.,약속 시간이 쪼끔 빠듯노ㅋㅋ
저녁에 학교에서 뵙겠습니다.,저녁에 학교에서 뵙겠누ㄷㄷ
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 진짜 지리누
다음 주에 회의 일정을 조율하겠습니다.,다음 주에 회의 일정을 조율하겠누ㅋㅋ
오늘 부산 날씨가 정말 좋습니다.,오늘 부산 날씨가 존나 지리누
점심에 회의 일정을 조율하겠습니다.,점심에 회의 일정을 조율하겠누ㅋㅋㅋ
지금 바로 처리하겠습니다.,지금 바로 처리하겠노ㅋㅋ
오늘 뉴욕로 이동하겠습니다.,오늘 뉴욕로 이동하겠누
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 겁나 개꿀잼었누
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠누ㅋㅋㅋ
역에 주말에 도착하겠습니다.,역에 주말에 도착하겠노
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 겁나 꿀잼었누
버정에 점심에 도착하겠습니다.,버정에 점심에 도착하겠누
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠누ㄷㄷ
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 ㄹㅇ 지리누ㄷㄷ
내일 모레에 출발해도 될까요?,내일 모레에 출발해도 될까요노?ㅋㅋ
오늘 점심에 운동하실 수 있나요?,오늘 점심에 운동하실 수 있노?ㄷㄷ
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽누!!
폰 배터리가 너무 빨리 닳습니다.,폰 배터리가 너무 빨리 닳노
오늘 광주로 이동하겠습니다.,오늘 광주로 이동하겠누ㅋㅋㅋ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 진짜 쩔노ㅋㅋㅋ
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 개꿀잼었노
점심에 회의 일정을 조율하겠습니다.,점심에 회의 일정을 조율하겠누ㄷㄷ
오늘 회사이(가) 예상보다 한산합니다.,오늘 회사가 예상보다 한산누ㅋㅋ
모레에 발표이 있으니 늦지 말아 주세요.,모레에 발표이 있으니 늦지 말아 줘누
책을 학교에 두고 온 것 같습니다.,책을 학교에 두고 온 것 같노
내일 내일에 출발해도 될까요?,내일 내일에 출발해도 될까요노?ㅎㅎ
오늘 파리 날씨가 정말 좋습니다.,오늘 파리 날씨가 개 지리노
학교이(가) 너무 붐빕니다.,학교가 너무 붐빕니다노ㄷㄷ
점심에 미팅이 있으니 늦지 말아 주세요.,점심에 미팅이 있으니 늦지 말아 줘노
내일까지 결과를 보내 주십시오.,내일까지 결과를 보내 줘누
밤에 역에서 뵙겠습니다.,밤에 역에서 뵙겠누
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 ㄹㅇ 꿀잼었노ㅎㅎ
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯노
내일 저녁에 출발해도 될까요?,내일 저녁에 출발해도 될까요노?!!
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쪼끔 더 자세히 해 주실 수 있노?ㄷㄷ
아침에 마감이 있으니 늦지 말아 주세요.,아침에 마감이 있으니 늦지 말아 줘누
오늘 도서관이(가) 예상보다 한산합니다.,오늘 도서관이 예상보다 한산누ㅎㅎ
저녁에 버정에서 뵙겠습니다.,저녁에 버정에서 뵙겠노ㅎㅎ
오늘 공원이(가) 예상보다 한산합니다.,오늘 공원이 예상보다 한산노ㄷㄷ
다음 주까지는 완료하겠습니다.,다음 주까지 완료하겠노ㄷㄷ
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 겁나 지리누
점심에 미팅이 있으니 늦지 말아 주세요.,점심에 미팅이 있으니 늦지 말아 줘노ㅋㅋㅋ
다음 주에 역에서 뵙겠습니다.,다음 주에 역에서 뵙겠노
오늘 도쿄로 이동하겠습니다.,오늘 도쿄로 이동하겠노
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠노ㅎㅎ
지갑을 집에 두고 온 것 같습니다.,지갑을 집에 두고 온 것 같누ㅋㅋ
이 초밥은 정말 맛있습니다.,이 초밥은 진짜 존맛노ㄷㄷ
오늘 광주로 이동하겠습니다.,오늘 광주로 이동하겠노ㅋㅋㅋ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 진짜 쩔노
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쬐끔 더 자세히 해 주실 수 있노?
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠누ㄷㄷ
주말에 회의 일정을 조율하겠습니다.,주말에 회의 일정을 조율하겠누ㅎㅎ
카페에 주말에 도착하겠습니다.,카페에 주말에 도착하겠누ㅋㅋ
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 진짜 지리노
오늘 회사 근처에 계신가요?,오늘 회사 근처에 있노?
내일 점심에 출발해도 될까요?,내일 점심에 출발해도 될까요노?ㅎㅎ
오늘 대구로 이동하겠습니다.,오늘 대구로 이동하겠누ㅋㅋ
그 제안은 괜찮아 보입니다.,그 제안은 괜찮아 보노ㄷㄷ
일정을 조금 미루는 것이 어떨까요?,일정을 쬐끔 미루는 것이 어떨까요노?ㅎㅎ
지구과학 숙제를 아직 제출하지 못했습니다.,지구과학 숙제를 아직 제출하지 못했노ㄷㄷ
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠누ㅋㅋ
배구 연습은 잘 되고 있습니까?,배구 연습은 잘 되고 있노?ㄷㄷ
마우스을 학교에 두고 온 것 같습니다.,마우스을 학교에 두고 온 것 같노
오늘 제주도 날씨가 정말 좋습니다.,오늘 제주도 날씨가 진짜 지리누
이 비빔밥은 정말 맛있습니다.,이 비빔밥은 진짜 개맛있노!!
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 진짜 쩔노
내일 아침에 출발해도 될까요?,내일 아침에 출발해도 될까요노?ㅋㅋㅋ
의견 주시면 감사하겠습니다.,의견 주시면 감사하겠누ㅋㅋ
롤 실력이 매우 늘었습니다.,롤 실력이 겁나 늘었누
카페에 아침에 도착하겠습니다.,카페에 아침에 도착하겠노
책을 공원에 두고 온 것 같습니다.,책을 공원에 두고 온 것 같누ㅋㅋ
지갑을 어디에 두셨는지 기억나십니까?,지갑을 어디에 두셨는지 기억나십니까노?!!
오늘 헬스장 근처에 계신가요?,오늘 헬스장 근처에 있노?ㅋㅋ
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 ㄹㅇ 쩔노
내일에 마감이 있으니 늦지 말아 주세요.,내일에 마감이 있으니 늦지 말아 줘노
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠노ㅋㅋㅋ
오늘 역이(가) 예상보다 한산합니다.,오늘 역이 예상보다 한산누!!
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 살짝 더 자세히 해 주실 수 있노?!!
카페에 평일에 도착하겠습니다.,카페에 평일에 도착하겠노ㅎㅎ
주말에 발표이 있으니 늦지 말아 주세요.,주말에 발표이 있으니 늦지 말아 줘누
수학 숙제를 아직 제출하지 못했습니다.,수학 숙제를 아직 제출하지 못했노
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 개 꿀잼었누
영어 숙제를 아직 제출하지 못했습니다.,영어 숙제를 아직 제출하지 못했누ㅎㅎ
책을 도서관에 두고 온 것 같습니다.,책을 도서관에 두고 온 것 같누
회사에 모레에 도착하겠습니다.,회사에 모레에 도착하겠누ㅎㅎ
오늘 광주 날씨가 정말 좋습니다.,오늘 광주 날씨가 ㄹㅇ 지리노!!
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 진짜 존맛누
공원이(가) 너무 붐빕니다.,공원이 너무 붐빕니다누ㅋㅋ
키보드을 공원에 두고 온 것 같습니다.,키보드을 공원에 두고 온 것 같누ㄷㄷ
영어 숙제를 아직 제출하지 못했습니다.,영어 숙제를 아직 제출하지 못했노
오늘 일정은 여기까지 하겠습니다.,오늘 일정은 여기까진 하겠노!!
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 진짜 개꿀잼었누ㄷㄷ
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠누ㅋㅋㅋ
이 문장을 간단하게 바꿔 주세요.,이 문장을 간단하게 바꿔 줘누ㄷㄷ
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠누ㅋㅋㅋ
카메라을 도서관에 두고 온 것 같습니다.,카메라을 도서관에 두고 온 것 같누!!
다음 주에 면접이 있으니 늦지 말아 주세요.,다음 주에 면접이 있으니 늦지 말아 줘누ㄷㄷ
점심에 카페에서 뵙겠습니다.,점심에 카페에서 뵙겠노
폰을 어디에 두셨는지 기억나십니까?,폰을 어디에 두셨는지 기억나십니까노?ㅋㅋㅋ
농구 연습은 잘 되고 있습니까?,농구 연습은 잘 되고 있노?ㅋㅋ
책 배터리가 너무 빨리 닳습니다.,책 배터리가 너무 빨리 닳누ㄷㄷ
사진 몇 장만 더 보내 주실 수 있을까요?,사진 몇 장만 더 보내 주실 수 있을까요노?
클라이밍 연습은 잘 되고 있습니까?,클라이밍 연습은 잘 되고 있노?ㅋㅋ
늦어서 정말 죄송합니다.,늦어서 존나 죄송노ㅋㅋㅋ
이 라면은 정말 맛있습니다.,이 라면은 개 존맛누
내일 모레에 출발해도 될까요?,내일 모레에 출발해도 될까요노?!!
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠누ㅎㅎ
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 진짜 개꿀잼었누
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쪼끔 더 자세히 해 주실 수 있노?!!
일정을 조금 미루는 것이 어떨까요?,일정을 쬐끔 미루는 것이 어떨까요노?ㅋㅋㅋ
이 버거은 정말 맛있습니다.,이 버거은 진짜 개맛있노ㄷㄷ
회사에 점심에 도착하겠습니다.,회사에 점심에 도착하겠노
지갑 배터리가 너무 빨리 닳습니다.,지갑 배터리가 너무 빨리 닳누
이 라면은 정말 맛있습니다.,이 라면은 진짜 존맛누ㄷㄷ
폰을 집에 두고 온 것 같습니다.,폰을 집에 두고 온 것 같노!!
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 ㄹㅇ 개꿀잼었노ㅋㅋㅋ
이 초밥은 정말 맛있습니다.,이 초밥은 진짜 존맛누ㅋㅋㅋ
오늘 헬스장이(가) 예상보다 한산합니다.,오늘 헬스장이 예상보다 한산노ㅎㅎ
카메라을 학교에 두고 온 것 같습니다.,카메라을 학교에 두고 온 것 같노ㅋㅋㅋ
평일에 버정에서 뵙겠습니다.,평일에 버정에서 뵙겠노ㅋㅋㅋ
저녁에 집에서 뵙겠습니다.,저녁에 집에서 뵙겠노!!
오늘 평일에 운동하실 수 있나요?,오늘 평일에 운동하실 수 있노?
수영 연습은 잘 되고 있습니까?,수영 연습은 잘 되고 있노?
키보드을 어디에 두셨는지 기억나십니까?,키보드을 어디에 두셨는지 기억나십니까노?ㅋㅋ
평일에 마감이 있으니 늦지 말아 주세요.,평일에 마감이 있으니 늦지 말아 줘노
롤 실력이 매우 늘었습니다.,롤 실력이 개 늘었노
버정에 내일에 도착하겠습니다.,버정에 내일에 도착하겠노
폰 배터리가 너무 빨리 닳습니다.,폰 배터리가 너무 빨리 닳누ㅋㅋㅋ
노트북을 헬스장에 두고 온 것 같습니다.,노트북을 헬스장에 두고 온 것 같누ㅋㅋ
가능하시다면 지금 시작하겠습니다.,가능하시다면 지금 시작하겠누
평일에 회사에서 뵙겠습니다.,평일에 회사에서 뵙겠누!!
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 진짜 존맛노ㄷㄷ
이 라면은 정말 맛있습니다.,이 라면은 ㄹㅇ 존맛누
키보드을 역에 두고 온 것 같습니다.,키보드을 역에 두고 온 것 같누ㅋㅋㅋ
오늘 집 근처에 계신가요?,오늘 집 근처에 있노?
오늘 헬스장이(가) 예상보다 한산합니다.,오늘 헬스장이 예상보다 한산누
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯누ㅎㅎ
이 치킨은 정말 맛있습니다.,이 치킨은 진짜 개맛있노
회사에 저녁에 도착하겠습니다.,회사에 저녁에 도착하겠누
버정에 다음 주에 도착하겠습니다.,버정에 다음 주에 도착하겠누
늦어서 정말 죄송합니다.,늦어서 개 죄송누!!
오늘 공원 근처에 계신가요?,오늘 공원 근처에 있노?ㅎㅎ
도서관이(가) 너무 붐빕니다.,도서관이 너무 붐빕니다노ㄷㄷ
주말에 면접이 있으니 늦지 말아 주세요.,주말에 면접이 있으니 늦지 말아 줘누ㅋㅋ
폰을 헬스장에 두고 온 것 같습니다.,폰을 헬스장에 두고 온 것 같누ㅎㅎ
오늘 다음 주에 운동하실 수 있나요?,오늘 다음 주에 운동하실 수 있노?
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 꿀잼었노ㄷㄷ
공원에 모레에 도착하겠습니다.,공원에 모레에 도착하겠노ㅋㅋㅋ
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사누ㅎㅎ
오늘 점심에 운동하실 수 있나요?,오늘 점심에 운동하실 수 있노?ㅋㅋㅋ
가격이 다소 높은 편입니다.,가격이 쪼끔 높은 편누ㄷㄷ
오늘 집이(가) 예상보다 한산합니다.,오늘 집이 예상보다 한산노
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽누ㄷㄷ
역에 모레에 도착하겠습니다.,역에 모레에 도착하겠노
탭을 공원에 두고 온 것 같습니다.,탭을 공원에 두고 온 것 같노
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 진짜 개꿀잼었누ㅎㅎ
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠누ㅋㅋ
